municipio_id,municipio_nombre
625266.0,rio chico
620210.0,rìo colorado
620217.0,comallo
625231.0,laguna blanca
625140.0,pilquiniyeu del limay
625042.0,villa llanquin
620231.0,san antonio oeste
620238.0,sierra grande
625168.0,aguada cecilio
625147.0,arroyo los berros
625182.0,nahuel niyeu
625189.0,sierra paileman
620245.0,valcheta
625196.0,aguada de guerra
625203.0,colan conhue
625224.0,el cain
620252.0,ing. jacobacci
620259.0,los menucos
620266.0,maquinchao
625252.0,pilquiniyeu
660028.0,joaquin v. gonzalez
660014.0,el quebrachal
660021.0,general pizarro
660035.0,las lajitas
660042.0,cachi
660049.0,payogasta
660056.0,cafayate
660063.0,salta
660077.0,cerrillos
660084.0,la merced
660098.0,el carril
660112.0,el bordo
660119.0,general guemes
660126.0,aguaray
660147.0,general mosconi
660133.0,embarcacion
660154.0,profesor salvador mazza
660140.0,general ballivian
660161.0,tartagal
660168.0,guachipas
660182.0,isla de cañas
660189.0,la caldera
660203.0,el jardin
660210.0,el tala
660217.0,la candelaria
660224.0,la poma
660238.0,la viña
660259.0,el galpon
660273.0,molinos
660301.0,hipolito yrigoyen
660308.0,pichanal
660315.0,san ramon de la nueva oran
660343.0,santa victoria este
660329.0,rivadavia banda norte
660336.0,rivadavia banda sur
660357.0,rosario de la frontera
660364.0,campo quijano
660371.0,rosario de lerma
660378.0,angastaco
660385.0,animana
660392.0,san carlos
660406.0,nazareno
660399.0,los toldos
700007.0,albardon
700014.0,angaco
700021.0,calingasta
700028.0,san juan
700042.0,chimbas
700056.0,jachal
700063.0,9 de julio
700084.0,rivadavia
700091.0,san martin
700098.0,santa lucia
700105.0,sarmiento
700112.0,ullum
700119.0,valle fertil
700126.0,25 de mayo
740007.0,candelaria
746007.0,leandro n. alem
740014.0,lujan
740021.0,quines
746014.0,la calera
746021.0,nogoli
740035.0,"v, gral, roca"
746035.0,carolina
746042.0,el trapiche
740042.0,la toma
746063.0,saladillo
740049.0,concaran
746070.0,cortaderas
740056.0,naschel
746077.0,papagayos
746091.0,san pablo
740063.0,tilisarao
746098.0,villa del carmen
749119.0,juan jorba
746140.0,lavaisse
740073.0,ranqueles
746112.0,san jose del morro
740077.0,villa mercedes
746154.0,arizona
746161.0,bagual
746168.0,batavia
749182.0,fortuna
746189.0,navia
746196.0,nueva galia
740091.0,union
746203.0,carpinteria
746210.0,lafinur
746217.0,los molles
740098.0,sta rosa del conlara
746238.0,alto pencoso
746245.0,balde
746252.0,beazley
740108.0,desaguadero
746259.0,el volcan
746266.0,p. de los funes
746273.0,san jeronimo
740133.0,san luis
746287.0,las vertientes
746294.0,las aguadas
746301.0,las chacras
746308.0,las lagunas
746315.0,paso grande
740140.0,san martin
746322.0,"v, de praga"
820007.0,armstrong
822007.0,bouquet
820014.0,las parejas
822028.0,arequito
822035.0,arteaga
822042.0,berabevu
822049.0,bigand
